id,value
COLOMBIA-2017,
COLOMBIA-2017.01(ENERO),
COLOMBIA-2017.01(ENERO).DOMESTICO,
COLOMBIA-2017.01(ENERO).DOMESTICO.LOCAL,2529
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO,
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.CANCUN,49
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.LIMA,59
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.LONDRES,40
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.MADRID,45
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.MEXICO,41
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.MIAMI,90
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.NEW-YORK,59
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.PANAMA,45
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.SANTIAGO,49
COLOMBIA-2017.01(ENERO).COLOMBIA-COMO-DESTINO.SAO-PAULO,56
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA,
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.ARUBA,40
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.CANCUN,49
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.LIMA,68
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.LONDRES,44
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.LOS-ANGELES,41
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.MADRID,56
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.MEXICO,43
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.MIAMI,95
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.NEW-YORK,71
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.PANAMA,41
COLOMBIA-2017.01(ENERO).DESDE-COLOMBIA.SANTIAGO,51
