source,target,value
BOGOTA - COLOMBIA,MIAMI - ESTADOS UNIDOS,204
MIAMI - ESTADOS UNIDOS,BOGOTA - COLOMBIA,185
BOGOTA - COLOMBIA,NEW YORK - ESTADOS UNIDOS,179
BOGOTA - COLOMBIA,MADRID - ESPANA,144
SAO PAULO - BRASIL,BOGOTA - COLOMBIA,144
NEW YORK - ESTADOS UNIDOS,BOGOTA - COLOMBIA,139
MADRID - ESPANA,BOGOTA - COLOMBIA,132
BOGOTA - COLOMBIA,LIMA - PERU,123
PANAMA - PANAMA,BOGOTA - COLOMBIA,123
BOGOTA - COLOMBIA,PANAMA - PANAMA,122
BOGOTA - COLOMBIA,QUITO - ECUADOR,115
BOGOTA - COLOMBIA,MEXICO - MEXICO,111
RIONEGRO - ANTIOQUIA - COLOMBIA,MIAMI - ESTADOS UNIDOS,110
LIMA - PERU,BOGOTA - COLOMBIA,108
BOGOTA - COLOMBIA,SAO PAULO - BRASIL,108
BOGOTA - COLOMBIA,PARIS - FRANCIA,102
BOGOTA - COLOMBIA,LONDRES - INGLATERRA,101
MEXICO - MEXICO,BOGOTA - COLOMBIA,100
BOGOTA - COLOMBIA,AMSTERDAM - HOLANDA,100
BOGOTA - COLOMBIA,LOS ANGELES - ESTADOS UNIDOS,95
QUITO - ECUADOR,BOGOTA - COLOMBIA,95
MIAMI - ESTADOS UNIDOS,RIONEGRO - ANTIOQUIA - COLOMBIA,93
BOGOTA - COLOMBIA,SANTIAGO - CHILE,93
CANCUN - MEXICO,BOGOTA - COLOMBIA,93
SANTIAGO - CHILE,BOGOTA - COLOMBIA,92
BARCELONA - ESPANA,BOGOTA - COLOMBIA,92
PARIS - FRANCIA,BOGOTA - COLOMBIA,90
